                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.4891,                 1.2173,                  1.206,                0.20847,                0.26812,                0.18443,                0.08528,                 2.3163,                 2.3613,                 1.8481,             0.00061034,             0.00061034,             0.00061034
                     83,                 1.5196,                 1.2102,                 1.2128,                0.37434,                0.21388,                0.18323,                0.08414,                 2.3356,                 2.2435,                 1.8802,             0.00060759,             0.00060759,             0.00060759
                     84,                 1.5011,                 1.2155,                 1.2024,                0.37199,                0.18563,                0.17991,                0.08185,                 2.3077,                 2.2611,                 1.8308,             0.00060484,             0.00060484,             0.00060484
                     85,                 1.5335,                 1.2621,                 1.2336,                0.45629,                0.20501,                0.17172,                0.08134,                 2.3068,                 2.3272,                 1.8269,             0.00060209,             0.00060209,             0.00060209
                     86,                 1.4977,                 1.2339,                   1.21,                0.23397,                0.19477,                0.17721,                0.08679,                 2.2836,                 2.1947,                 1.8192,             0.00059934,             0.00059934,             0.00059934
                     87,                  1.486,                 1.1879,                 1.2025,                0.40535,                0.25185,                0.20083,                0.09445,                 2.3011,                  2.316,                 1.7888,             0.00059659,             0.00059659,             0.00059659
                     88,                 1.4816,                 1.1724,                 1.1751,                0.39884,                0.23481,                0.20627,                0.09247,                 2.3531,                 2.3924,                 1.8182,             0.00059385,             0.00059385,             0.00059385
                     89,                 1.4573,                 1.1742,                 1.1891,                0.51287,                0.18591,                0.18117,                0.08777,                 2.3126,                  2.282,                 1.8633,              0.0005911,              0.0005911,              0.0005911
                     90,                 1.4928,                 1.1901,                 1.1846,                0.51578,                0.19441,                0.18887,                  0.092,                 2.3261,                 2.3217,                 1.8819,             0.00058835,             0.00058835,             0.00058835
                     91,                 1.4824,                 1.1865,                 1.1962,                0.26345,                0.20352,                0.18392,                0.09117,                 2.2787,                 2.2873,                 1.8197,              0.0005856,              0.0005856,              0.0005856
